Date,AAA_10Y
2019-01-02,0.2277731720193814
2019-01-03,0.2462275849487483
2019-01-04,0.2746611771045129
2019-01-07,0.2888748335790811
2019-01-08,0.3105817908749722
2019-01-09,0.3011134769877213
2019-01-10,0.2674735772420931
2019-01-11,0.2487008781019892
2019-01-14,0.2426070715739641
2019-01-15,0.2388592302140466
2019-01-16,0.2580422898655383
2019-01-17,0.2672090339938258
2019-01-18,0.2811071406436354
2019-01-21,0.2881681561761904
2019-01-22,0.2680802570460607
2019-01-23,0.2652459915527392
2019-01-24,0.2159525970341627
2019-01-25,0.2245224257989444
2019-01-28,0.2289868402934871
2019-01-29,0.2268015997158632
2019-01-30,0.2152586627451107
2019-01-31,0.1876074798881903
2019-02-01,0.1876056777856991
2019-02-04,0.2057848207517945
2019-02-05,0.2156275055677969
2019-02-06,0.1950841126159166
2019-02-07,0.1473309502632198
2019-02-08,0.1209066788765658
2019-02-11,0.1494672097430349
2019-02-12,0.1776718162281163
2019-02-13,0.1779687473438458
2019-02-14,0.1346361223007073
2019-02-15,0.1493039042508019
2019-02-18,0.156501247709333
2019-02-19,0.1541121528490903
2019-02-20,0.1454993038550047
2019-02-21,0.1839394969591405
2019-02-22,0.1479103895348381
2019-02-25,0.1583176480177206
2019-02-26,0.1601038119487405
2019-02-27,0.1967485204224011
2019-02-28,0.2281325209626938
2019-03-01,0.2549494461534891
2019-03-04,0.2247227033646335
2019-03-05,0.216517984050184
2019-03-06,0.1811138541074211
2019-03-07,0.1309803509597036
2019-03-08,0.1219710544043821
2019-03-11,0.1090820490458961
2019-03-12,0.1147251635682842
2019-03-13,0.1147251635682797
2019-03-14,0.1300044644419218
2019-03-15,0.1310416737271214
2019-03-18,0.1340795395141767
2019-03-19,0.1571049543599576
2019-03-20,0.1368180909245189
2019-03-21,0.0926855715652252
2019-03-22,0.0155754714761329
2019-03-25,0.032600052838323
2019-03-26,0.0280913337258392
2019-03-27,-0.0336564559057279
2019-03-28,-0.0232666246051294
2019-03-29,-0.0134294349958481
2019-04-01,0.0081585304100282
2019-04-02,0.0113446890750634
2019-04-03,0.055835304364467
2019-04-04,0.0442018633669638
2019-04-05,0.0499743692716569
2019-04-08,0.051849131345627
2019-04-09,0.0394865855229134
2019-04-10,0.0127112752718345
2019-04-11,0.0308424818041777
2019-04-12,0.090170766985913
2019-04-15,0.1150477302503643
2019-04-16,0.1072378389019834
2019-04-17,0.1274962291361352
2019-04-18,0.0725736382141772
2019-04-23,0.0845989246841316
2019-04-24,0.0390836468344439
2019-04-25,0.0391228593352925
2019-04-26,0.0304865472921314
2019-04-29,0.0561914214297303
2019-04-30,0.0761878544554783
2019-05-02,0.0593398053985803
2019-05-03,0.0651605071425143
2019-05-06,0.0617863578319615
