Date,FR_10Y,IT_10Y,ES_10Y,AAA_10Y,spread_FR,spread_IT,spread_ES
2019-01-02,0.656,2.691,1.407,0.2277731720193814,42.82268279806186,246.32268279806183,117.92268279806186
2019-01-03,0.656,2.888,1.438,0.2462275849487483,40.97724150512517,264.17724150512515,119.17724150512517
2019-01-04,0.695,2.892,1.478,0.2746611771045129,42.03388228954871,261.7338822895487,120.33388228954871
2019-01-07,0.721,2.904,1.507,0.2888748335790811,43.212516642091884,261.5125166420919,121.81251664209188
2019-01-08,0.737,2.965,1.527,0.3105817908749722,42.64182091250278,265.44182091250275,121.64182091250278
2019-01-09,0.713,2.899,1.497,0.3011134769877213,41.18865230122787,259.7886523012279,119.58865230122788
2019-01-10,0.678,2.894,1.457,0.2674735772420931,41.052642275790696,262.6526422757907,118.9526422757907
2019-01-11,0.664,2.865,1.453,0.2487008781019892,41.52991218980108,261.6299121898011,120.42991218980109
2019-01-14,0.642,2.849,1.425,0.2426070715739641,39.93929284260359,260.6392928426036,118.23929284260359
2019-01-15,0.624,2.869,1.4,0.2388592302140466,38.51407697859534,263.01407697859537,116.11407697859532
2019-01-16,0.634,2.759,1.379,0.2580422898655383,37.595771013446175,250.09577101344615,112.09577101344617
2019-01-17,0.647,2.76,1.373,0.2672090339938258,37.979096600617424,249.2790966006174,110.57909660061742
2019-01-18,0.659,2.734,1.356,0.2811071406436354,37.789285935636464,245.28928593563646,107.48928593563647
2019-01-21,0.661,2.758,1.377,0.2881681561761904,37.283184382380966,246.98318438238095,108.88318438238096
2019-01-22,0.643,2.751,1.348,0.2680802570460607,37.49197429539393,248.2919742953939,107.99197429539393
2019-01-23,0.635,2.755,1.326,0.2652459915527392,36.97540084472608,248.97540084472607,106.07540084472609
2019-01-24,0.585,2.671,1.244,0.2159525970341627,36.904740296583725,245.50474029658372,102.80474029658373
2019-01-25,0.6,2.649,1.242,0.2245224257989444,37.547757420105555,242.44775742010555,101.74775742010556
2019-01-28,0.608,2.668,1.23,0.2289868402934871,37.90131597065129,243.9013159706513,100.10131597065129
2019-01-29,0.61,2.634,1.242,0.2268015997158632,38.31984002841368,240.71984002841367,101.51984002841368
2019-01-30,0.595,2.6,1.266,0.2152586627451107,37.974133725488926,238.47413372548894,105.07413372548893
2019-01-31,0.558,2.592,1.201,0.1876074798881903,37.03925201118098,240.43925201118097,101.33925201118097
2019-02-01,0.572,2.734,1.227,0.1876056777856991,38.43943222143009,254.63943222143007,103.9394322214301
2019-02-04,0.584,2.753,1.256,0.2057848207517945,37.82151792482055,254.72151792482057,105.02151792482056
2019-02-05,0.579,2.795,1.26,0.2156275055677969,36.33724944322031,257.9372494432203,104.43724944322031
2019-02-06,0.578,2.837,1.262,0.1950841126159166,38.291588738408336,264.19158873840837,106.69158873840834
2019-02-07,0.554,2.948,1.245,0.1473309502632198,40.66690497367802,280.066904973678,109.76690497367802
2019-02-08,0.539,2.977,1.24,0.1209066788765658,41.80933211234342,285.6093321123434,111.90933211234342
2019-02-11,0.571,2.89,1.25,0.1494672097430349,42.153279025696506,274.0532790256965,110.0532790256965
2019-02-12,0.566,2.844,1.246,0.1776718162281163,38.83281837718836,266.63281837718836,106.83281837718836
2019-02-13,0.553,2.785,1.244,0.1779687473438458,37.503125265615424,260.7031252656154,106.60312526561542
2019-02-14,0.528,2.806,1.245,0.1346361223007073,39.336387769929274,267.1363877699293,111.03638776992928
2019-02-15,0.537,2.8,1.248,0.1493039042508019,38.76960957491982,265.0696095749198,109.8696095749198
2019-02-18,0.546,2.768,1.234,0.156501247709333,38.949875229066706,261.14987522906665,107.74987522906669
2019-02-19,0.533,2.787,1.22,0.1541121528490903,37.88878471509097,263.28878471509097,106.58878471509097
2019-02-20,0.528,2.86,1.21,0.1454993038550047,38.25006961449953,271.4500696144995,106.45006961449953
2019-02-21,0.543,2.829,1.215,0.1839394969591405,35.90605030408596,264.506050304086,103.10605030408595
2019-02-22,0.516,2.853,1.18,0.1479103895348381,36.808961046516195,270.5089610465162,103.20896104651618
2019-02-25,0.525,2.765,1.167,0.1583176480177206,36.66823519822794,260.66823519822793,100.86823519822794
2019-02-26,0.524,2.711,1.148,0.1601038119487405,36.389618805125956,255.08961880512592,98.78961880512594
2019-02-27,0.55,2.784,1.162,0.1967485204224011,35.325147957759896,258.7251479577599,96.52514795775988
2019-02-28,0.575,2.76,1.181,0.2281325209626938,34.68674790373062,253.18674790373058,95.28674790373063
2019-03-01,0.582,2.733,1.21,0.2549494461534891,32.70505538465109,247.8050553846511,95.50505538465109
2019-03-04,0.555,2.736,1.18,0.2247227033646335,33.027729663536654,251.12772966353668,95.52772966353665
