Price,SX5E
Ticker,^STOXX50E
Date,
2019-01-03,2954.659912109375
2019-01-04,3041.85009765625
2019-01-07,3033.639892578125
2019-01-08,3054.93994140625
2019-01-09,3070.239990234375
2019-01-10,3075.72998046875
2019-01-11,3070.0400390625
2019-01-14,3055.179931640625
2019-01-15,3068.050048828125
2019-01-16,3077.219970703125
2019-01-17,3069.35009765625
2019-01-18,3134.919921875
2019-01-21,3125.070068359375
2019-01-22,3112.800048828125
2019-01-23,3112.1298828125
2019-01-24,3126.31005859375
2019-01-25,3163.239990234375
2019-01-28,3137.27001953125
2019-01-29,3153.419921875
2019-01-30,3161.739990234375
2019-01-31,3159.429931640625
2019-02-01,3171.1201171875
2019-02-04,3165.199951171875
2019-02-05,3215.0400390625
2019-02-06,3212.75
2019-02-07,3150.760009765625
2019-02-08,3135.6201171875
2019-02-11,3165.610107421875
2019-02-12,3190.75
2019-02-13,3202.3701171875
2019-02-14,3182.659912109375
2019-02-15,3241.25
2019-02-18,3244.7900390625
2019-02-19,3239.409912109375
2019-02-20,3259.489990234375
2019-02-21,3263.699951171875
2019-02-22,3270.550048828125
2019-02-25,3280.010009765625
2019-02-26,3289.320068359375
2019-02-27,3282.77001953125
2019-02-28,3298.260009765625
2019-03-01,3312.10009765625
2019-03-04,3317.1201171875
2019-03-05,3327.18994140625
2019-03-06,3324.669921875
2019-03-07,3308.85009765625
2019-03-08,3283.60009765625
2019-03-11,3304.43994140625
2019-03-12,3303.949951171875
2019-03-13,3323.449951171875
2019-03-14,3342.030029296875
2019-03-15,3386.080078125
2019-03-18,3387.93994140625
2019-03-19,3409.0
2019-03-20,3372.3798828125
2019-03-21,3367.39990234375
2019-03-22,3305.72998046875
2019-03-25,3300.47998046875
2019-03-26,3319.530029296875
2019-03-27,3322.0400390625
2019-03-28,3320.2900390625
2019-03-29,3351.7099609375
2019-04-01,3385.3798828125
2019-04-02,3395.699951171875
2019-04-03,3435.56005859375
2019-04-04,3441.929931640625
2019-04-05,3447.469970703125
2019-04-08,3438.06005859375
2019-04-09,3417.219970703125
2019-04-10,3424.64990234375
2019-04-11,3435.340087890625
2019-04-12,3447.830078125
2019-04-15,3450.4599609375
2019-04-16,3463.360107421875
2019-04-17,3477.72998046875
2019-04-18,3499.22998046875
2019-04-23,3503.85009765625
2019-04-24,3502.6298828125
2019-04-25,3491.919921875
2019-04-26,3500.409912109375
2019-04-29,3501.93994140625
2019-04-30,3514.6201171875
2019-05-02,3488.929931640625
2019-05-03,3502.47998046875
2019-05-06,3462.949951171875
2019-05-07,3401.159912109375
2019-05-08,3417.260009765625
2019-05-09,3350.7099609375
2019-05-10,3361.050048828125
2019-05-13,3320.780029296875
2019-05-14,3364.3798828125
2019-05-15,3385.780029296875
2019-05-16,3438.56005859375
2019-05-17,3425.639892578125
2019-05-20,3369.780029296875
2019-05-21,3386.510009765625
2019-05-22,3386.719970703125
2019-05-23,3327.199951171875
2019-05-24,3350.699951171875
2019-05-27,3364.0400390625
2019-05-28,3348.860107421875
2019-05-29,3297.81005859375
2019-05-31,3280.429931640625
2019-06-03,3300.219970703125
2019-06-04,3333.489990234375
2019-06-05,3339.949951171875
2019-06-06,3338.409912109375
2019-06-07,3378.3798828125
2019-06-11,3401.10009765625
2019-06-12,3386.6298828125
2019-06-13,3390.5
2019-06-14,3379.18994140625
2019-06-17,3383.2099609375
2019-06-18,3452.889892578125
2019-06-19,3454.699951171875
2019-06-20,3468.080078125
2019-06-21,3466.919921875
2019-06-24,3455.570068359375
2019-06-25,3444.360107421875
2019-06-26,3442.949951171875
2019-06-27,3442.3798828125
2019-06-28,3473.68994140625
2019-07-01,3497.590087890625
2019-07-02,3507.97998046875
2019-07-03,3540.6298828125
2019-07-04,3544.14990234375
2019-07-05,3527.97998046875
2019-07-08,3523.760009765625
2019-07-09,3509.75
2019-07-10,3501.52001953125
2019-07-11,3496.72998046875
2019-07-12,3497.6298828125
2019-07-15,3502.219970703125
2019-07-16,3521.360107421875
2019-07-17,3501.580078125
2019-07-18,3482.830078125
2019-07-19,3480.179931640625
2019-07-22,3489.919921875
2019-07-23,3532.8701171875
2019-07-24,3532.89990234375
2019-07-25,3510.14990234375
2019-07-26,3524.469970703125
2019-07-29,3523.580078125
2019-07-30,3462.85009765625
2019-07-31,3466.85009765625
2019-08-02,3376.1201171875
2019-08-05,3310.929931640625
2019-08-06,3291.659912109375
2019-08-07,3309.989990234375
2019-08-08,3375.3798828125
2019-08-09,3333.739990234375
2019-08-12,3326.550048828125
2019-08-13,3357.159912109375
2019-08-14,3288.699951171875
2019-08-15,3282.780029296875
2019-08-16,3329.080078125
2019-08-19,3369.18994140625
2019-08-20,3350.22998046875
2019-08-21,3394.889892578125
2019-08-22,3373.669921875
2019-08-23,3334.25
2019-08-26,3348.840087890625
2019-08-27,3370.469970703125
2019-08-28,3365.3798828125
2019-08-29,3411.330078125
2019-08-30,3426.760009765625
2019-09-02,3432.5400390625
2019-09-03,3420.739990234375
