Date,SX5E,VSTOXX,FR_10Y,IT_10Y,ES_10Y,AAA_10Y,spread_FR,spread_IT,spread_ES,Refi,ret_sx5e,delta_vstoxx,delta_refi,delta_spread_FR,delta_spread_IT,delta_spread_ES
2019-01-04,3041.85009765625,20.48,0.695,2.892,1.478,0.2746611771045129,42.03388228954871,261.7338822895487,120.33388228954873,0.0,0.02908235979073425,-2.5199999999999996,0.0,1.0566407844235357,-2.443359215576436,1.1566407844235584
2019-01-07,3033.639892578125,20.15,0.721,2.904,1.507,0.2888748335790811,43.212516642091884,261.5125166420919,121.81251664209188,0.0,-0.002702731825455765,-0.33000000000000185,0.0,1.1786343525431775,-0.22136564745682108,1.4786343525431533
2019-01-08,3054.93994140625,19.48,0.737,2.965,1.527,0.3105817908749722,42.64182091250278,265.44182091250275,121.64182091250278,0.0,0.006996750080740116,-0.6699999999999982,0.0,-0.5706957295891044,3.929304270410853,-0.17069572958909873
2019-01-09,3070.239990234375,19.0,0.713,2.899,1.497,0.3011134769877213,41.18865230122787,259.7886523012279,119.58865230122788,0.0,0.004995797942399764,-0.4800000000000004,0.0,-1.4531686112749114,-5.65316861127485,-2.0531686112748986
2019-01-10,3075.72998046875,18.69,0.678,2.894,1.457,0.2674735772420931,41.052642275790696,262.6526422757907,118.9526422757907,0.0,0.0017865338492528064,-0.3099999999999987,0.0,-0.136010025437173,2.8639899745627986,-0.6360100254371872
2019-01-11,3070.0400390625,17.42,0.664,2.865,1.453,0.2487008781019892,41.52991218980108,261.6299121898011,120.42991218980109,0.0,-0.0018516615538500102,-1.2699999999999996,0.0,0.4772699140103853,-1.0227300859896218,1.4772699140103924
2019-01-14,3055.179931640625,17.9,0.642,2.849,1.425,0.2426070715739641,39.93929284260359,260.6392928426036,118.2392928426036,0.0,-0.004852115237414933,0.4799999999999969,0.0,-1.5906193471974888,-0.9906193471974802,-2.190619347197483
2019-01-15,3068.050048828125,16.93,0.624,2.869,1.4,0.2388592302140466,38.51407697859534,263.01407697859537,116.11407697859532,0.0,0.0042037082327598925,-0.9699999999999989,0.0,-1.4252158640082513,2.3747841359917743,-2.1252158640082826
2019-01-16,3077.219970703125,15.72,0.634,2.759,1.379,0.2580422898655383,37.595771013446175,250.09577101344613,112.09577101344615,0.0,0.002984385926702165,-1.209999999999999,0.0,-0.9183059651491661,-12.918305965149244,-4.0183059651491675
2019-01-17,3069.35009765625,15.41,0.647,2.76,1.373,0.2672090339938258,37.979096600617424,249.2790966006174,110.57909660061742,0.0,-0.002560737861873269,-0.3100000000000005,0.0,0.38332558717124954,-0.8166744128287178,-1.5166744128287348
2019-01-18,3134.919921875,14.28,0.659,2.734,1.356,0.2811071406436354,37.789285935636464,245.28928593563649,107.48928593563647,0.0,0.021137785882951204,-1.1300000000000008,0.0,-0.18981066498096055,-3.989810664980922,-3.089810664980945
2019-01-21,3125.070068359375,15.38,0.661,2.758,1.377,0.2881681561761904,37.283184382380966,246.98318438238093,108.88318438238096,0.0,-0.0031469256850880545,1.1000000000000014,0.0,-0.5061015532554975,1.6938984467444413,1.3938984467444868
2019-01-22,3112.800048828125,16.0,0.643,2.751,1.348,0.2680802570460607,37.49197429539393,248.2919742953939,107.99197429539392,0.0,-0.003934046437552616,0.6199999999999992,0.0,0.20878991301296423,1.308789913012987,-0.8912100869870443
2019-01-23,3112.1298828125,16.48,0.635,2.755,1.326,0.2652459915527392,36.97540084472608,248.97540084472607,106.07540084472608,0.0,-0.00021531680695961887,0.4800000000000004,0.0,-0.516573450667849,0.6834265493321539,-1.9165734506678405
2019-01-24,3126.31005859375,15.56,0.585,2.671,1.244,0.2159525970341627,36.904740296583725,245.5047402965837,102.80474029658372,0.0,0.00454607252324938,-0.9199999999999999,0.0,-0.07066054814235656,-3.4706605481423765,-3.2706605481423594
